[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|1|MouseEasy|98.41%|166382|15245|301|1810|1860
|2|Kurumiw|97.84%|104430|14571|18|429|722
|3|MINHOCA LOKA|97.69%|105778|13916|17|323|696
|4|Skycries|99.15%|133380|13803|559|497|320
|5|Coreanmaluco|98.42%|340921|13532|1275|4916|1540
|6|Yuuzinho|98.86%|226649|13429|250|1939|1578
|7|xxluizxx47|98.70%|136353|13204|256|1418|1647
|8|NoSin|97.75%|70865|12721|138|1194|1307
|9|- DARK -|99.14%|120176|12578|125|1275|1686
|10|NovatoKing|98.16%|62759|12485|28|893|2470
|11|Juh|98.51%|105422|12439|56|616|1805
|12|Mystia|99.01%|195206|12255|261|1190|1455
|13|niii_san|98.93%|159171|12221|650|3195|1386
|14|Zekker|98.76%|112904|11970|893|836|977
|15|httd|97.49%|88661|11815|31|1038|1516
|16|Sakayaneegi|99.31%|144248|11771|234|1791|451
|17|SAPIN_|98.80%|132938|11740|63|423|896
|18|Idealism|98.42%|107532|11565|108|1857|1448
|19|Porbinhos|97.99%|74018|11541|19|339|759
|20|TlAGOBABUM|98.62%|157641|11509|1560|3174|1534
|21|Sanjilift|97.79%|205989|11435|49|1425|1345
|22|KingKitsaer|98.33%|108166|11399|22|220|431
|23|henrique2412|98.74%|43501|11362|45|412|794
|24|CYREZ|98.29%|63941|11231|198|1409|610
|25|Shanghai|97.52%|40391|11145|26|367|453
|26|Yellowl|99.58%|100193|11091|250|1268|468
|27|Sickoh|98.55%|134944|10972|62|750|876
|28|weak|98.09%|89821|10972|68|893|2307
|29|AlphexX|98.48%|76698|10919|85|589|1157
|30|Suva|97.92%|205821|10894|114|1475|1344
|31|leozinhoo|98.66%|63148|10833|29|603|970
|32|Dafonz|98.66%|57411|10760|42|791|1004
|33|Mismagius|98.37%|169176|10635|522|5160|1013
|34|Mirtrax|96.62%|104232|10545|19|713|1092
|35|Last Sonata|97.28%|82698|10506|37|673|968
|36|Miyukioo|99.14%|49739|10485|92|720|585
|37|Gaiava|98.68%|101722|10482|37|1590|1497
|38|Astris|98.89%|218226|10418|65|1177|2172
|39|- Emerald|98.58%|100409|10394|27|727|1228
|40|KeikoL|98.06%|85319|10387|25|478|922
|41|Fenrir|99.47%|97270|10364|332|2433|695
|42|Texats|98.71%|113573|10341|83|1579|1344
|43|milim|98.47%|63260|10320|33|751|1021
|44|IoahimLow|97.16%|72434|10306|22|654|1067
|45|melancholia|98.70%|99704|10275|58|1087|927
|46|Ghossert|99.37%|60331|10201|17|407|711
|47|Stardust|99.37%|100393|10178|168|1513|1509
|48|Lincoln|98.65%|150484|10132|503|788|1849
|49|SWAKE|99.31%|52892|10036|52|408|449
|50|despairy|98.65%|89120|10014|39|548|747
|51|kerex123|97.59%|64554|9984|79|489|740
|52|bro_gamer84|99.17%|60028|9922|26|402|481
|53|zubs|98.46%|159996|9908|48|286|315
|54|Lokito|98.43%|62172|9875|8|258|516
|55|Dinilsu|97.68%|125893|9855|44|465|1335
|56|Katsuragi Keima|98.38%|98398|9838|30|850|1317
|57|CIay|98.93%|90790|9811|82|788|684
|58|rinuu|97.81%|53434|9798|63|795|798
|59|luis10barbo|98.65%|72846|9765|43|701|4226
|60|Flor|97.80%|33851|9747|11|112|330
|61|-Mush-|97.73%|62879|9738|30|474|583
|62|- Best|98.27%|147919|9733|19|555|1087
|63|NEURONIO|98.99%|94021|9680|171|1366|1550
|64|Sooki|98.69%|143583|9674|24|1039|1602
|65|Fastz|98.27%|68072|9654|131|748|617
|66|LarLarLar|97.67%|88287|9643|10|418|527
|67|CocaSlayer|97.36%|38903|9631|5|81|387
|68|MetomBr|98.03%|114305|9629|17|885|1215
|69|Darkk|98.56%|96706|9532|82|1002|1382
|70|Mind|98.83%|163160|9510|116|952|1342
|71|VitorSkull|98.32%|69403|9488|28|755|1160
|72|LukasBobeax|99.77%|79552|9486|237|777|79
|73|Akane Hime|98.79%|88285|9442|389|3197|1046
|74|TIAG0BABUM|98.14%|32714|9404|41|192|378
|75|preisteixo|99.00%|35626|9353|29|1065|1936
|76|[- ZiinHG -]|97.91%|118883|9323|49|720|1457
|77|Katrion|97.86%|50655|9308|22|418|918
|78|Rosaria|98.95%|108029|9292|618|1264|776
|79|alexdoong|94.16%|100356|9289|7|313|630
|80|Chrystian|98.19%|173165|9285|18|538|1677
|81|Moeta|98.04%|82686|9273|21|845|1576
|82|Floaddy|99.21%|52756|9258|284|1031|380
|83|Crimson Dragon|99.21%|94949|9256|126|1447|1672
|84|gilherme boulos|98.91%|123426|9233|69|2293|1785
|85|Cailus|97.48%|69018|9231|20|365|530
|86|Miwari|99.09%|89418|9218|903|936|779
|87|Polaco|98.89%|120585|9216|268|2006|1236
|88|yNyash72|97.94%|29942|9182|117|1468|1558
|89|ToyBreak|97.75%|127655|9139|40|517|819
|90|vyynnyy12|96.79%|55703|9137|33|612|717
|91|Serra|98.12%|143931|9127|41|935|1610
|92|YAMAT0|98.71%|85277|9119|85|698|1159
|93|KaZuoo|99.03%|44582|9104|37|690|762
|94|Tsumetai Tenshi|98.86%|149745|9098|68|971|882
|95|RafaelXDP|98.55%|75731|9095|129|1532|1109
|96|Zenvio|98.17%|156788|9087|30|628|983
|97|Checha|100.00%|120023|9085|4551|324|346
|98|headphone|98.28%|76850|9067|28|633|782
|99|Toninhosu|99.15%|54537|9066|84|632|536
|100|Dada|99.53%|76334|9044|950|3785|1922
|101|Procedeus|99.03%|64234|9004|230|1172|612
|102|ZazaFavela|99.44%|132014|8955|57|668|1102
|103|helpmeplease1|98.54%|81739|8952|82|872|906
|104|Pengzy|99.56%|76212|8946|232|898|531
|105|darkeae|97.79%|51165|8925|23|403|738
|106|_Taiki|98.60%|89599|8859|58|565|900
|107|Dokie|98.86%|197375|8832|58|1314|1172
|108|Gabe5765|98.23%|60607|8820|93|436|288
|109|popera|97.66%|71233|8816|32|880|2837
|110|sunosz|98.52%|109314|8809|130|2114|2411
|111|Luccachu|98.57%|72643|8781|21|356|1309
|112|Roberto|98.75%|79820|8770|79|911|1235
|113|RafaaHS|98.34%|67984|8752|16|188|694
|114|Tell|99.45%|35499|8740|74|917|1033
|115|-Alone-|98.46%|103898|8683|104|903|1831
|116|norbertosnt3|98.90%|88836|8678|68|1145|1070
|117|Sorixx|99.33%|85141|8671|57|925|1639
|118|gFR|97.38%|122907|8660|19|438|971
|119|xKirito|98.45%|57429|8638|212|824|1729
|120|Schach|98.07%|109083|8638|48|1396|1807
|121|Notsuren|98.68%|99140|8636|50|387|602
|122|speed|98.12%|117274|8622|30|321|771
|123|caua|99.01%|53988|8620|109|1282|1004
|124|dark on osu|98.28%|66960|8611|38|838|948
|125|Kafumii|98.92%|77029|8605|16|253|748
|126|Cang Yue|97.75%|75070|8596|55|833|1041
|127|lorenzo101122|97.57%|62275|8584|35|510|758
|128|Saewon|99.24%|190718|8564|219|814|908
|129|Brunows11|98.81%|51210|8541|87|899|825
|130|Karausw|97.54%|25106|8541|23|182|266
|131|Vvdc|97.67%|75266|8538|43|387|1011
|132|Delou|98.29%|65676|8526|50|853|1005
|133|kannyaws|98.90%|93841|8514|47|1290|1461
|134|Seikosei|99.00%|121257|8504|115|771|556
|135|1080p|98.69%|136590|8491|35|888|1120
|136|Ashtar|99.13%|72934|8487|108|1848|291
|137|Pianisuto|99.10%|44371|8466|53|811|1620
|138|- Ruby|99.02%|82755|8459|50|600|965
|139|Arestark|98.50%|68262|8446|19|391|562
|140|Bieuzineo|99.02%|68898|8434|29|826|1396
|141|Igor Cabra|98.76%|68835|8430|13|100|245
|142|Pooru-san|97.70%|96064|8430|66|610|1110
|143|MrLucas|98.18%|53955|8419|12|477|773
